no,character,text,scene,lead_in_sec
46,ナレーター,禅の「守破離」は、まず型を守り、次に型を破り、最後に型から離れる段階的な道を示します。朝活を試して合わなければ、夜活でも昼活でもいい。,[06:00-07:00] 実践への架橋,0.0
47,ナレーター,時間生物学は、体の声を聴くことの科学的根拠を与えてくれます。眠い時に寝て、冴えている時に働く。それが最も生産的。,[06:00-07:00] 実践への架橋,0.0
48,ナレーター,フーコーの批判は、「みんながやっているから」という理由を疑うことを促します。その習慣は本当にあなたのためか、それとも見えない権力の産物か。,[06:00-07:00] 実践への架橋,0.0
49,ナレーター,習慣は道具です。目的は、充実した人生。道具が目的化した時、私たちは習慣の奴隷になってしまう。,[06:00-07:00] 実践への架橋,0.0
50,ナレーター,次の月曜日の朝。アラームは6時半にセット。無理のない時間。,[07:00-07:30] 現代への帰還,3.0
51,同僚A,「今朝も5時起きで——。」,[07:00-07:30] 現代への帰還,0.0
52,あなた,「すごいですね。私は夜の方が集中できるので、夜に勉強してます。」,[07:00-07:30] 現代への帰還,0.0
53,ナレーター,罪悪感はもうない。人にはそれぞれのリズムがあり、それぞれの習慣がある。,[07:00-07:30] 現代への帰還,0.0
54,ナレーター,自己啓発書の山は、一冊を残して処分しました。残したのは、自分で選んだ、自分に合った一冊。,[07:00-07:30] 現代への帰還,0.0
55,内なる声,「私には私の習慣がある。」,[07:00-07:30] 現代への帰還,0.0
56,ナレーター,夜空を見上げると、オリオン座が輝いています。,[07:30-08:00] エンディング,3.0
57,ナレーター,オリオンは季節によって、時間によって、見える姿を変える。,[07:30-08:00] エンディング,0.0
58,ナレーター,でもオリオンそのものは変わらない。,[07:30-08:00] エンディング,0.0
59,ナレーター,7つの習慣があるなら、8つ目は「習慣を疑う習慣」かもしれません。,[07:30-08:00] エンディング,0.0
60,ナレーター,知識の星座は、見る人によって違う物語を紡ぎます。,[07:30-08:00] エンディング,0.0
61,ナレーター,朝でも夜でも、あなたが最も輝く時間こそが、あなたの時間。,[07:30-08:00] エンディング,0.0
